Player,Team,Player_Appearances,Player_Minutes played,Player_Goals scored,Player_NPG,Player_Assists,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90
Angelo Ogbonna,WHU,13,1143,2.0,2.0,0.0,0.82,0.82,0.43,2.73,2.50,0.06,0.06,0.03,0.10,0.10,0.21,0.20
Ross Barkley,AVL,8,489,2.0,2.0,1.0,1.53,1.53,1.88,3.77,0.76,0.28,0.28,0.35,0.63,0.63,0.69,0.14
Aleksandar Mitrovic,FUL,11,698,2.0,1.0,2.0,3.89,2.37,1.67,4.03,0.59,0.50,0.31,0.22,0.72,0.52,0.52,0.08
Ben Chilwell,CHE,10,893,2.0,2.0,3.0,1.14,1.14,1.30,3.55,2.80,0.11,0.11,0.13,0.25,0.25,0.36,0.28
Tyrone Mings,AVL,11,990,2.0,2.0,1.0,1.47,1.47,0.15,2.07,1.97,0.13,0.13,0.01,0.15,0.15,0.19,0.18
Michael Keane,EVE,13,1170,2.0,2.0,0.0,1.29,1.29,0.14,2.96,2.82,0.10,0.10,0.01,0.11,0.11,0.23,0.22
Jeff Hendrick,NEW,10,832,2.0,2.0,1.0,1.00,1.00,0.79,2.86,1.14,0.11,0.11,0.09,0.19,0.19,0.31,0.12
Pablo Fornals,WHU,13,1048,2.0,2.0,2.0,3.11,3.11,1.09,6.7,2.62,0.27,0.27,0.09,0.36,0.36,0.58,0.23
Rodrigo,LEE,11,532,2.0,2.0,0.0,2.30,2.30,1.15,4.46,1.92,0.39,0.39,0.19,0.58,0.58,0.76,0.33
Hélder Costa,LEE,10,676,2.0,2.0,2.0,0.90,0.90,0.49,3.1,1.98,0.12,0.12,0.07,0.19,0.19,0.41,0.26
Chris Wood,BUR,12,1028,2.0,2.0,0.0,3.95,3.95,0.30,4.7,0.60,0.35,0.35,0.03,0.37,0.37,0.41,0.05
Callum Robinson,WBA,12,588,2.0,2.0,0.0,0.50,0.50,0.37,1.35,0.57,0.08,0.08,0.06,0.13,0.13,0.21,0.09
Gabriel Jesus,MCI,7,630,2.0,2.0,1.0,1.96,1.96,1.08,4.56,2.25,0.28,0.28,0.15,0.44,0.44,0.65,0.32
