Player,Player_first,Team,Player_Appearances,Player_Minutes played,Player_Goals scored,Player_NPG,Player_Assists,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90
Firmino,Roberto,LIV,8,639,1.0,1.0,2.0,1.85,1.85,1.04,5.29,2.90,0.26,0.26,0.15,0.41,0.41,0.75,0.41
Dann,Scott,CRY,4,360,1.0,1.0,0.0,0.45,0.45,0.00,0.28,0.28,0.11,0.11,0.00,0.11,0.11,0.07,0.07
Kouyaté,Cheikhou,CRY,8,720,1.0,1.0,0.0,0.59,0.59,0.02,1.49,1.47,0.07,0.07,0.00,0.08,0.08,0.19,0.18
Lanzini,Manuel,WHU,3,30,1.0,1.0,0.0,0.01,0.01,0.04,0.0,0.00,0.03,0.03,0.11,0.14,0.14,0.00,0.00
Aké,Nathan,MCI,4,288,1.0,1.0,0.0,0.40,0.40,0.02,0.94,0.93,0.13,0.13,0.01,0.13,0.13,0.30,0.29
Walker,Kyle,MCI,7,619,1.0,1.0,0.0,0.14,0.14,0.10,3.41,3.23,0.02,0.02,0.01,0.03,0.03,0.50,0.47
Westwood,Ashley,BUR,7,630,1.0,1.0,0.0,0.10,0.10,1.11,1.9,1.37,0.01,0.01,0.16,0.17,0.17,0.27,0.20
Ayew,Jordan,CRY,6,454,1.0,1.0,0.0,0.82,0.82,0.07,1.29,0.52,0.16,0.16,0.01,0.18,0.18,0.26,0.10
Aina,Ola,FUL,5,450,1.0,1.0,0.0,0.04,0.04,0.14,1.21,1.17,0.01,0.01,0.03,0.04,0.04,0.24,0.23
Mahrez,Riyad,MCI,5,433,1.0,1.0,1.0,0.90,0.90,0.90,3.42,2.39,0.19,0.19,0.19,0.37,0.37,0.71,0.50
Townsend,Andros,CRY,8,687,1.0,1.0,2.0,0.59,0.59,1.66,2.86,1.34,0.08,0.08,0.22,0.29,0.29,0.38,0.18
van,Virgil,LIV,5,370,1.0,1.0,0.0,0.55,0.55,0.00,1.41,1.29,0.13,0.13,0.00,0.13,0.13,0.34,0.31
