Player,Team,Role,Cost,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall
Havertz,CHE,MID,8.4,8.7%,6.0,21.0,394.0,1.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,93.0,92.6,67.0,25.3,6.0,0.0,0.7,2.5,4.2,439442.0,706847.0,-1.0,1.0
Fabinho,LIV,MID,5.5,1.5%,1.7,12.0,392.0,0.0,1.0,1.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,73.0,75.0,32.6,5.0,11.4,1.7,0.0,0.3,2.2,2.4,58105.0,75721.0,0.0,0.0
Anguissa,FUL,MID,4.5,2.3%,1.7,11.0,387.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,76.0,104.2,94.2,40.0,23.9,1.7,0.0,0.4,2.4,2.2,220460.0,124153.0,0.0,0.0
Mitrović,FUL,FWD,5.9,10.9%,1.3,17.0,387.0,2.0,0.0,0.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,43.0,84.2,45.9,209.0,32.6,1.3,0.0,0.2,2.9,3.4,432253.0,1215169.0,-1.0,1.0
Richarlison,EVE,FWD,7.9,5.3%,2.7,22.0,382.0,1.0,3.0,1.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,84.0,107.6,52.2,193.0,35.1,2.7,0.0,0.3,2.8,4.4,382664.0,723518.0,-1.0,1.0
Basham,SHU,DEF,4.9,1.2%,2.3,10.0,382.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,71.0,87.2,34.2,22.0,14.3,2.3,0.0,0.5,2.0,2.0,16542.0,74624.0,-1.0,1.0
Lewis,NEW,DEF,4.4,2.3%,0.3,8.0,381.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,46.0,44.4,65.1,6.0,11.4,0.3,0.0,0.1,1.8,1.6,200631.0,171585.0,-1.0,1.0
Son,TOT,MID,9.4,52.0%,10.7,58.0,376.0,7.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,197.0,311.0,204.9,237.0,75.4,10.7,3.0,1.1,6.2,11.6,3704609.0,2098385.0,4.0,-4.0
Berge,SHU,MID,5.0,0.1%,1.7,8.0,374.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,45.0,50.2,59.1,43.0,15.3,1.7,0.0,0.3,1.6,1.6,5545.0,7754.0,0.0,0.0
Lamptey,BHA,DEF,4.7,11.1%,2.0,13.0,372.0,0.0,3.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,74.0,71.6,92.8,67.0,23.2,2.0,0.0,0.4,2.8,2.6,824065.0,246683.0,2.0,-2.0
